Name, Number of Deaths, Death Rate, Rank
Alameda,470,8.8,37
"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, Tuolumne",142,23.8,3
Butte,142,22.5,6
"Colusa, Glenn, Tehama",67,17.2,10
Contra Costa,339,9.2,35
"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, Trinity",112,23.1,4
El Dorado,100,16.8,11
Fresno,325,11,27
Humboldt,93,22.7,5
Imperial,32,5.8,44
Kern,352,13.6,17
Kings,63,14.8,13
Lake,49,24.9,2
Los Angeles,"2,651",8.2,40
Madera,52,11.3,25
Marin,122,14.6,14
Mendocino,60,20.8,8
Merced,71,9.2,36
Monterey,130,9.6,33
Napa,52,10.9,28
Nevada,66,21.3,7
Orange,"1,014",9.9,31
Placer,173,12.5,20
Riverside,891,11.9,22
Sacramento,598,12.6,19
San Benito,16,8.4,39
San Bernardino,718,11.2,26
San Diego,"1,280",12.3,21
San Francisco,244,7.9,42
San Joaquin,251,10.8,29
San Luis Obispo,146,16.2,12
San Mateo,216,8.5,38
Santa Barbara,164,11.3,24
Santa Clara,503,8.2,41
Santa Cruz,114,12.9,18
Shasta,137,24.9,1
Solano,189,14,15
Sonoma,228,13.9,16
Stanislaus,186,11.4,23
Sutter,30,9.9,32
Tulare,105,7.8,43
Ventura,278,10.2,30
Yolo,56,9.2,34
Yuba,46,20.5,9
